iter	Passed	Remaining
0	0	56
1	1	52
2	1	50
3	1	47
4	2	47
5	2	46
6	3	45
7	3	45
8	4	44
9	4	44
10	5	44
11	6	44
12	6	44
13	7	44
14	7	44
15	8	44
16	9	44
17	9	43
18	10	43
19	10	43
20	11	42
21	11	42
22	12	41
23	13	41
24	13	40
25	14	41
26	15	40
27	15	40
28	16	40
29	16	39
30	17	39
31	18	38
32	18	37
33	19	37
34	19	36
35	20	36
36	20	35
37	21	35
38	22	34
39	22	33
40	23	33
41	23	32
42	24	31
43	24	31
44	25	30
45	25	30
46	26	29
47	26	29
48	27	28
49	28	28
50	28	27
51	29	26
52	29	26
53	30	25
54	30	25
55	31	24
56	31	24
57	32	23
58	32	22
59	33	22
60	33	21
61	34	20
62	34	20
63	35	19
64	36	19
65	36	18
66	37	18
67	37	17
68	38	17
69	38	16
70	39	16
71	39	15
72	40	14
73	40	14
74	41	13
75	42	13
76	42	12
77	43	12
78	43	11
79	44	11
80	44	10
81	45	9
82	45	9
83	46	8
84	46	8
85	47	7
86	48	7
87	48	6
88	49	6
89	49	5
90	50	4
91	50	4
92	51	3
93	52	3
94	52	2
95	53	2
96	53	1
97	54	1
98	54	0
99	55	0
