iter	Passed	Remaining
0	48	48078
1	48	24281
2	49	16322
3	50	12464
4	50	10045
5	50	8431
6	51	7296
7	51	6435
8	52	5801
9	53	5302
10	53	4849
11	54	4474
12	54	4165
13	55	3892
14	55	3652
15	55	3443
16	56	3263
17	56	3109
18	57	2963
19	57	2829
20	58	2711
21	58	2603
22	58	2504
23	59	2430
24	60	2361
25	60	2281
26	61	2207
27	61	2138
28	61	2073
29	62	2015
30	62	1960
31	63	1909
32	63	1861
33	63	1815
34	64	1772
35	64	1733
36	65	1706
37	66	1683
38	66	1648
39	67	1615
40	67	1588
41	68	1557
42	68	1528
43	69	1502
44	69	1479
45	70	1456
46	70	1434
47	71	1418
48	72	1404
49	72	1383
50	73	1364
51	73	1343
52	74	1323
53	74	1303
54	74	1285
55	75	1267
56	75	1250
57	75	1233
58	76	1217
59	76	1201
60	77	1186
61	77	1176
62	78	1168
63	78	1154
64	79	1143
65	80	1132
66	80	1124
67	81	1112
68	81	1100
69	81	1088
70	82	1078
71	82	1068
72	83	1058
73	84	1053
74	84	1047
75	85	1038
76	85	1028
77	86	1019
78	86	1009
79	87	1000
80	87	992
81	87	983
82	88	972
83	88	964
84	88	956
85	89	948
86	89	940
87	90	933
88	90	928
89	91	925
90	92	919
91	92	911
92	92	904
93	93	898
94	93	892
95	94	890
96	94	883
97	95	877
98	95	872
99	96	869
100	97	867
101	98	863
102	98	857
103	98	852
104	99	848
105	100	844
106	100	839
107	101	834
108	101	829
109	101	824
110	102	823
111	103	821
112	103	816
113	104	811
114	104	806
115	105	801
116	105	796
117	106	792
118	106	788
119	106	783
120	107	779
121	107	774
122	108	770
123	108	767
124	109	768
125	110	767
126	111	763
127	111	759
128	112	756
129	112	752
130	112	748
131	113	745
132	113	741
133	114	738
134	115	737
135	116	737
136	116	734
137	117	732
138	117	728
139	118	725
140	118	722
141	118	718
142	119	715
143	119	712
144	120	708
145	120	705
146	121	702
147	122	702
148	122	699
149	122	696
150	123	694
151	123	691
152	124	688
153	124	685
154	125	682
155	125	680
156	126	678
157	126	675
158	127	673
159	128	674
160	128	670
161	129	668
162	129	666
163	130	664
164	130	661
165	131	658
166	131	655
167	131	652
168	132	649
169	132	646
170	132	644
171	133	643
172	134	642
173	134	639
174	135	637
175	135	634
176	135	632
177	136	629
178	136	626
179	137	624
180	137	622
181	138	620
182	138	619
183	139	619
184	140	619
185	141	617
186	141	615
187	142	614
188	142	612
189	143	609
190	143	607
191	144	606
192	144	604
193	144	601
194	145	599
195	145	598
196	147	601
197	148	600
198	149	600
199	149	598
200	149	596
201	150	594
202	150	592
203	151	589
204	151	587
205	152	586
206	153	586
207	153	584
208	154	583
209	154	581
210	155	579
211	155	577
212	155	575
213	156	574
214	156	572
215	157	571
216	158	571
217	159	571
218	159	569
219	159	567
220	160	565
221	160	563
222	161	561
223	161	560
224	162	558
225	162	556
226	163	555
227	163	553
228	163	551
229	164	550
230	165	550
231	165	548
232	166	546
233	166	544
234	166	543
235	167	541
236	167	539
237	168	540
238	169	539
239	169	537
240	171	540
241	172	539
242	172	538
243	173	537
244	173	535
245	174	533
246	174	532
247	175	531
248	175	529
249	176	530
250	177	528
251	177	526
252	177	525
253	178	524
254	178	522
255	179	521
256	179	519
257	180	518
258	180	516
259	180	514
260	181	513
261	183	515
262	183	514
263	183	512
264	184	511
265	184	510
266	185	508
267	185	507
268	186	506
269	186	505
270	187	504
271	188	505
272	189	504
273	189	502
274	190	502
275	190	500
276	191	499
277	191	498
278	192	496
279	192	495
280	193	494
281	193	493
282	194	493
283	195	492
284	195	491
285	196	491
286	197	490
287	197	489
288	198	488
289	198	486
290	216	526
291	216	525
292	217	524
293	218	523
294	218	522
295	219	521
296	219	520
297	221	521
298	222	521
299	222	519
300	223	518
301	223	517
302	224	515
303	224	513
304	224	512
305	225	511
306	225	509
307	226	509
308	227	508
309	228	507
310	229	508
311	229	507
312	230	505
313	231	504
314	231	503
315	232	502
316	232	501
317	234	503
318	235	502
319	235	500
320	236	499
321	236	498
322	237	497
323	237	495
324	238	494
325	238	493
326	239	493
327	240	492
328	240	491
329	241	489
330	241	488
331	242	487
332	242	485
333	243	485
334	243	484
335	244	483
336	244	481
337	245	480
338	245	479
339	246	477
340	246	476
341	247	475
342	247	474
343	248	473
344	248	472
345	249	470
346	249	469
347	249	468
348	250	466
349	250	465
350	251	464
351	251	463
352	252	461
353	252	460
354	252	459
355	253	457
356	253	456
357	253	455
358	254	454
359	254	452
360	255	451
361	255	450
362	255	448
363	256	447
364	256	446
365	257	446
366	258	445
367	258	444
368	259	443
369	259	442
370	260	441
371	260	439
372	261	438
373	261	437
374	261	436
375	262	435
376	262	434
377	263	433
378	263	432
379	264	430
380	264	429
381	264	428
382	265	427
383	265	426
384	266	425
385	266	424
386	267	423
387	267	422
388	268	421
389	268	420
390	269	419
391	269	418
392	269	417
393	270	415
394	270	414
395	271	413
396	271	412
397	272	411
398	272	410
399	273	409
400	273	408
401	273	407
402	274	406
403	274	405
404	275	404
405	275	403
406	276	402
407	276	401
408	276	400
409	277	399
410	278	398
411	278	397
412	279	396
413	279	395
414	280	395
415	280	394
416	281	393
417	281	392
418	282	391
419	282	390
420	283	389
421	283	388
422	284	387
423	284	386
424	284	385
425	285	384
426	285	383
427	285	381
428	286	380
429	286	379
430	287	378
431	287	378
432	289	378
433	289	377
434	290	376
435	290	375
436	290	374
437	291	373
438	291	372
439	292	371
440	292	370
441	292	369
442	293	368
443	294	368
444	294	367
445	294	366
446	295	365
447	295	364
448	296	363
449	296	362
450	297	362
451	298	361
452	298	360
453	298	359
454	299	358
455	299	357
456	300	356
457	300	355
458	300	354
459	301	353
460	301	352
461	302	352
462	303	351
463	303	350
464	304	349
465	304	349
466	305	348
467	305	347
468	306	346
469	306	345
470	307	345
471	307	344
472	308	343
473	308	342
474	309	342
475	309	341
476	310	340
477	310	339
478	311	338
479	311	337
480	311	336
481	312	335
482	312	334
483	313	333
484	313	333
485	314	332
486	314	331
487	314	330
488	315	329
489	315	328
490	316	327
491	316	326
492	317	326
493	317	325
494	317	324
495	318	323
496	318	322
497	319	321
498	319	320
499	319	319
500	320	319
501	321	318
502	321	318
